species,cat_island,variation,polymorphism,WSC_ISO3,points_gbif,n_points,area_polygon,area_countries_wsc,lat_range,lat_range_wsc,cat_island_points,wsc,bin_island,centroid_lon,centroid_lat,eco_reg_points,eco_reg_polygon,temp_zones_points,temp_zones_polygon,bole_female,bole_male,source
Argiope_argentata,island_continent,yes,yes,"USA, Central America, South America",9405,5656,21032643.28,29777772.94,82.458813,98.68615651,island_continent,"usa,central america,south america",1,-5.137971016,-5.137971022,156,203,14,20,18.8,5.2,"Levi, H. W. (1968a). The spider genera Gea and Argiope in America (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 136: 319-352"
Argiope_aurantia,island_continent,no,no,"North America, Central America",25004,4814,10603822.88,21875348.71,34.643567,52.05850925,island_continent,"north america,central america",1,36.90185925,36.90185926,80,120,16,25,32,9.9,"Levi, H. W. (1968a). The spider genera Gea and Argiope in America (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 136: 319-352"
Argiope_hoiseni,Island,yes,yes,Malaysia,12,NA,NA,,NA,,NA,NA,NA,NA,,,,,,,,
Argiope_ocyaloides,continent,yes,yes,Australia,145,66,1512382.132,7691990.893,16.359192,39.01717104,continent,australia,0,-20.39246727,-20.39246727,6,12,4,7,8,NA,"Koch, L. (1871). Die Arachniden Australiens, nach der Natur beschrieben und abgebildet [Erster Theil, Lieferung 1-2]. Bauer & Raspe, Nürnberg, 1-104, pl. 1-8"
Argiope_protensa,island_continent,yes,yes,"New Guinea, Australia, New Caledonia, New Zealand",940,300,7517647.934,8443629.015,32.221761,57.43007084,island_continent,"new guinea,australia,new caledonia,new zealand",1,-26.68582595,-26.71538184,36,46,12,17,11.5,NA,"Rainbow, W. J. (1897b). Descriptions of some new Araneidae of New South Wales. No. 8. Proceedings of the Linnean Society of New South Wales 22: 514-553"
Argiope_trifasciata,island_continent,yes,no,"North America, Central America, South America",9097,4692,29295820.04,39715123.3,95.856476,109.6740354,island_continent,"north america,central america,south america",1,9.86237655,,128,258,20,26,21,7.3,"Levi, H. W. (1968a). The spider genera Gea and Argiope in America (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 136: 319-352"
Argyrodes_argentatus,continent,no,no,India,24,NA,NA,,NA,,NA,NA,0,NA,,,,,,,,
Argyrodes_flavescens,continent,no,no,India,137,NA,NA,,NA,,NA,NA,0,NA,,,,,,,,
Ariamnes_attenuatus,continent,no,no,Costa Rica,62,NA,NA,,NA,,NA,NA,1,NA,,,,,,,,
Ariamnes_cylindrogaster,island,no,no,"Japan, Taiwan, Laos",258,6,23687.02446,636745.5051,12.941081,18.14528939,island,"japan,taiwan,laos",1,23.94166165,,3,5,2,11,22.3,17.1,"Kim, B. W. & Kim, J. P. (2007). Taxonomic study of the spider subfamily Argyrodinae (Arachnida: Araneae: Theridiidae) in Korea. Korean Journal of Systematic Zoology 23: 213-228."
