species,cat_island,polymorphism,WSC_ISO3
Plebs_bradleyi,island_continent,yes,"Australia, Tasmania"
Plebs_cyphoxis,continent,NA,Australia
Poecilopachys_australasia,continent,no,Australia
Poltys_illepidus,continent,no,"Thailand, Southeast Asia, Australia"
Poltys_laciniosus,continent,no,Australia
Pycnacantha_fuscosa,NA,no,Madagascar
Quokkaraneus_necopinus,NA,no,Australia
Rhomphaea_metaltissima,continent,no,"Panama, Colombia, Brazil"
Robertus_lividus,island_continent,no,"USA, Russia, Europe, Iran"
Robertus_neglectus,island_continent,no,Europe
Rubrepeira_rubronigra,continent,yes,"Central America, South America"
Rugathodes_aurantius,continent,no,North America
Rugathodes_sexpunctatus,island_continent,no,USA
Rugathodes_sp,NA,NA,NA
Salsa_recherchensis,continent,no,Australia
Sardinidion_blackwalli,island_continent,no,Europe
Scoloderus_cordatus,continent,no,"Mexico, central america,South America,"
Selkirkiella_alboguttata,island_continent,yes,Chile
Selkirkiella_luisi,island_continent,yes,Chile
Singa_nitidula,continent,no,"Europe, Turkey, Russia, Europe, Caucasus to Central Asia"
Socca_pustulosa,island_continent,yes,"Australia, New Zealand"
Socca_senicaudatus,NA,NA,NA
Spilasma_duodecimguttata,continent,yes,"Central America, South America"
Spintharus_flavidus,island_continent,no,USA
Steatoda_bipunctata,island_continent,no,"Europe, Israel, Caucasus, Russia, Kazakhstan, Iran, Central, Asia, China.,"
Steatoda_borealis,island_continent,no,USA
Steatoda_castanea,island_continent,no,"Europe, Caucasus, Iran, Central Asia, China"
Steatoda_cingulata,island_continent,no,"China, Vietnam, Laos, Japan, Indonesia"
Steatoda_triangulosa,island_continent,no,"Europe, Russia, Kazakhstan, Iran, Central Asia., Libya"
Stemmops_cf,NA,NA,NA
Stemmops_nipponicus,island_continent,no,"Russia, Japan"
Styposis_selis,continent,no,Brazil
Synotaxus_225,NA,NA,NA
Takayus_latifolius,island_continent,no,"Russia, Japan"
Takayus_quadrimaculatus,continent,no,China
Takayus_takayensis,continent,no,China
Telaprocera_joanae,continent,no,Australia
Telaprocera_maudae,continent,no,Australia
Testudinaria_109,NA,NA,NA
Tetragnatha_versicolor,NA,NA,NA
Thelacantha_brevispina,island_continent,yes,"Madagascar, Mauritius, Pakistan to Japan and New Guinea, Australia, Fiji, French Polynesia, Hawaii"
Theridiinae_sp,NA,NA,NA
Theridiinae_sp_2,NA,NA,NA
Theridion_acutitarse,island,no,USA (Hawaii)
Theridion_albidum,continent,no,USA
Theridion_calcynatum,continent,no,south america
Theridion_californicum,continent,yes,USA
Theridion_cf,NA,NA,NA
Theridion_differens,continent,yes,USA
Theridion_flavonotatum,continent,no,USA
Theridion_frondeum,continent,yes,USA
Theridion_glaucescens,continent,no,USA
Theridion_grallator,island,yes,USA (Hawaii)
Theridion_kauaiense,island,no,USA (Hawaii)
Theridion_longipedatum,continent,no,Colombia
Theridion_melanostictum,island_continent,NA,"Macaronesia, Mediterranean, Egypt, India, Central Asia, China, Japan.,"
Theridion_melanurum,island,yes,"Macaronesia, Turkey, Caucasus, Russia, (Europe to Middle Siberia), Middle East.,"
Theridion_murarium,continent,no,North America
Theridion_nigroannulatum,continent,no,Ecuador
Theridion_pennsylvanicum,continent,no,USA
Theridion_pictum,continent,no,"North America, Caucasus Russia, Kazakhstan, Turkemenistan, China, Japan"
Theridion_pinastri,island_continent,no,"Europe, China, Korea, Japan"
Theridion_posticatum,island,yes,USA (Hawaii)
Theridion_sangzhiense,continent,no,China
Theridion_sp,NA,NA,NA
Theridion_theridioides,continent,no,China
Theridion_varians,island_continent,yes,"Europe, Caucasus Russia, Kazakhstan, Iran, Central Asia China., Libya, Western Mediterranean"
Theridula_emertoni,continent,no,USA
Theridula_opulenta,continent,no,North America
Thymoites_unimaculatus,continent,no,USA
Tidarren_sisyphoides,continent,no,"north america, central america, south america"
Trichonephila_clavipes,island_continent,no,"USA, Central America, South America, Caribbean"
Trichonephila_inaurata,island_continent,no,"South Africa, Mauritius, Reunion, Seychelles"
Trichonephila_senegalensis,island_continent,no,"West Africa, Central Africa, Ethiopia"
Uloborus_diversus,NA,NA,NA
Verrucosa_arenata,island_continent,yes,"USA, Central America, Greater Antilles"
Wagneriana_atuna,NA,yes,"Cuba, Costa Rica, Panama, Colombia, Ecuador, Peru, Bolivia, Paraguay"
Wagneriana_tauricornis,continent,no,"USA, Central America, South America"
Waitkera_waitakerensis,NA,NA,NA
Wamba_crispulus,continent,no,"north america, central america, south america"
Witica_cayanus,island_continent,yes,"Colombia, Venezuela, Trinidad and Tobago, French Guiana, Ecuador, Peru, Brazil"
Witica_crassicauda,island_continent,yes,"Mexico, Central America, South America"
Yunohamella_lyricus,NA,NA,NA
Yunohamella_palmgreni,continent,no,"Finland, Poland, Estonia, Russia"
Zealaranea_crassa,island,yes,New Zealand
Zygiella_atrica,island_continent,no,Europe
Zygiella_x-notata,island_continent,yes,"Europe, Turkey, Caucasus, Iran"
